name,email,age,grade,number,id,address
Alex Dupuy Franklin Kyler SHORT,Russorv@state.gov,25,A,(718) 491-9324,0,5600 FIRST AVENUE Afghanistan
Andrew Mayock Adam Noelle CARSON,sullivanjj@state.com,23,C,(718) 492-0760,1,5600 FIRST AVENUE Åland Islands
Andrew Shapiro Alex Josie MORROW,Russorv@state.gov,32,B,(043) 748-1721,2,5600 FIRST AVENUE Albania
Anne-Marie Slaughter Alonzo Jennifer COLON,Russorv@state.gov,23,D,(718) 499-7821,3,5600 FIRST AVENUE Algeria
Anthony Lake Everett Melissa HOLLOWAY,sullivanjj@gmail.com,32,F,(718) 238-7033,4,5600 1ST AVE B-8 American Samoa
Arturo Valenzuela Clifford Milo SUMMERS,Russorv@state.gov,56,A+,(718) 238-8766,5,5600 1ST AVENUE Andorra
Ban Ki-moon Victor Archer BRYAN,mhcaleja@state.gov,33,C+,(718) 836-8159,6,5600 FIRST AVENUE Angola
Barack Obama Eddie Gabriela PETERSEN,postmaster@state.gov,21,B,48867,7,"BROOKLYN NAVY YARD, BUILDING # 7 Anguilla"
Barbara Mikulski Alvin Allie MCKENZIE,rooneym@state.gov,45,A,43006801300,8,826 WASHINGTON STREET Antarctica
Betsy Ebeling Levi Eloise SERRANO,russorv@stategov,44,B,(718) 4398375,9,525 WEST STREET Antigua & Barbuda
Bill Clinton Amos Jeffrey WILCOX,sullivahu@state.gov,35,B+,(010) 491-2773,10,1195 SPOFFORD AVE Argentina
Biography Roscoe Holden CAREY,russoiv@state.gov,46,C+,(718) 6305555,11,1170 RANDALL AVE Armenia
Bonnie Klehr Wesley Arthur CLAYTON,miliscd@stategov,34,D,(718) 4395410,12,426 BARRETO STREET Aruba
Brian Greenspun Mary Cassidy POOLE,abedinh@stategov,26,F,7184399096,13,700 WHITTIER STREET Ascension Island
Burns Strider Anna Jacqueline CALDERON,tanleyrnr@state.gov,32,B,(718) 439-8822,14,534 DRAKE STREET Australia
Capricia Marshall Emma Brynn GALLEGOS,hanleymr@retailst.org,34,B+,(718) 567-8240,15,28 Furstenweg street Innsbruck City Tirol Austria
Carlos Pascual Elizabeth Karson GREER,rnillscd@state.gov,46,C,(718) 921-1211,16,234 ROW B HUNTS POINT TERMINAL MKT Azerbaijan
Caroline Adler Minnie Sawyer RIVAS,rnillscd@com.com,56,A,(718) 439-4574,17,240 FOOD CENTER DRIVE Bahamas
Case Button Margaret Rafael GUERRA,sullivanjj@state.gov.,54,A+,(718) 222-4441,18,727 DRAKE STREET Bahrain
Cecile Richards Ida Evangeline DECKER,reiriesp@state.gov,43,B,(631) 665-5522,19,530 CRAVEN STREET Bangladesh
Chad Weston Alice Jordan COLLIER,suilivanii@state.org,23,B+,(012) 492-9676,20,1290 OAKPOINT AVE Barbados
Charles Kiamie Bertha Paris WALL,sullivanj@yahoo.com,29,A,(718) 921-9858,21,250 COSTER STREET Belarus
Chelsea Clinton Annie Shane WHITAKER,suilivanij@state.gok,29,C,(718) 6807676,22,1257 RANDELL AVE  2ND FLOOR Belgium
Cherie Blair Clara Lane BASS,hanleymr@state.gov.,28,B,(718) 8422288,23,490 HUNTS POINT AVE Belize
Cheryl Mills Sarah Louis FLOWERS,reines_evgs@glob.com,27,D,(914) 5521052,24,40 W 116TH STREET A1102 Benin
Chester Crocker Florence Angelo DAVENPORT,hanleyrnr@state.gov,39,F,(718) 589-7877,25,E-1 HUNTS POINT TERMINAL MARKET Bermuda
Christopher Butzgy Martha Olive CONLEY,hanieymr@gmail.com,38,A+,(914) 937-4770,26,355 FOOD CTR. DR. H.P MKT BLDG. F4 Bhutan
Christopher Edwards Ella Ayla HOUSTON,hanleymrgastategov,41,C+,(718) 860-6323,27,B-18 HUNTS POINT MARKET Bolivia
Christopher Green Grace Remington HUFF,sulliyanfostate.gott,42,B,(718) 620-8580,28,355 FOOD CENTER DR.B-23 HTS PT MRKT Bosnia & Herzegovina
Christopher Hill Laura Troy COPELAND,aliilscd@state.gov,40,A,(631) 838-0779,29,ZODIAC BUILDING 165 LONDON ROAD Eritrea
Claire Coleman Bessie Emerson HOOD,nidesth@stategoy,30,B,(718) 617-7474,30,OLYMPIC HOUSE Estonia
Colin Powell Nellie Maximiliano MONROE,millscd@state.gov,39,B+,(718) 6171110,31,38 DALTON CRESCENT Ethiopia
Council on Foreign Relations Maude Hector MASSEY,sullivanji@state.gov,37,C+,(718) 6208260,32,PYLE HOUSE Eurozone
Courtney Beale Cora Rosalie ROBERSON,sullivanjj@state.golt,30,D,(011) 943-7051,33,196/2 HIGH STREET Falkland Islands
Craig Kelly Carrie Emilio COMBS,millscd@yahoo.com,25,F,(002) 9437056,34,FLAT 6 Faroe Islands
Daily Sun Mabel Kali FRANCO,nulandyj@state.org,23,B,(718) 4196111,35,57 CHISWELL ST. Fiji
Dana Hyde Ethel Anderson LARSEN,sulliyanij@state.goy,32,B+,(718) 620-8414,36,VICTORY HOUSE 17/19 MARINO WAY Finland
Daniel Baer Mattie Trevor PITTMAN,rnillscd@state.govs,23,C,(718) 378-4590,37,C/ SABLE ACCOUNTING LIMITED 77 NEW OXFORD STREET France
Daniel Inonye Gertrude Maci RANDALL,jake.sullivar@hotmail.com,32,A,(888) 330-9996,38,EBENEZER HOUSE French Guiana
Daniel Schwerin Jennie Gemma SKINNER,jilotylc@state.gov.,56,A+,(718) 589-5280,39,147A DULWICH ROAD French Polynesia
Danielle Brian Rose Lilliana WILKINSON,jake.sulliyan@email.org,33,B,(718) 589-2233,40,112 COOMBE VALE ROAD French Southern Territories
David Axelrod Edith Raegan KIRBY,michele.fl@comp.org,21,B+,(718) 842-2200,41,15 FOSTER AVENUE Gabon
David Brock Hattie Lena CAMERON,cheryimills millscd@state.gov,45,A,(516) 876-0441,42,JASMINE HOUSE 8 CHAMBERLAIN COURT Gambia
David Garten Helen Adelaide BRIDGES,jake.sulliva@hotmail.com,44,C,(917) 359-5990,43,6 POOLE ROAD Georgia
David Johnson Lillian Phoenix ANTHONY,valmoroll@state.gov.,35,B,(718) 991-0000,44,"RUTTINGHAM FARM DOWN STREET, Germany"
David Miliband Pearl Walter RICHARD,habedin@yahoo.com,46,D,(718) 617-7900,45,77 SALUSBURY ROAD Ghana
Department of State Louise Journey KIRK,valmorou@state.gov,34,F,(718) 620-8400,46,350 CASANOVA STREET Gibraltar
Derek Chollet Julia Johnathan BRUCE,filotylc@state.gov,26,A+,(718) 328-4313,47,"6 October City ,  Cairo Greece"
Diane Reynolds Lillie Johnny SINGLETON,abedinh@gmail.com,32,C+,(718) 732-4800,48,"13 Elhegaz Street Maadi , Giza Greenland"
Donald Jessie Adelynn MATHIS,millscd@state.aov,34,B,(718) 893-0066,49,"1243 Masr Elgdeda Al nasr ST , Cairo Grenada"
Doug Band Myrtle Edwin BRADFORD,illotylc@state.gov,46,A,(718) 854-7384,50,"5 JUPITER HOUSE, CALLEVA PARK Guadeloupe"
Doug Hattaway Edna Julius BOONE,millscd@gmail.com,56,B,(718) 893-3060,51,"FLAT 2, 5 ST. MARK'S RISE Guam"
E. Pelton Lula Alessandra ABBOTT,sullivahu@state.gov,54,B+,(631) 661-3060,52,OKEHURST BARN OKEHURST ROAD Guatemala
Elizabeth Drew Eva Kenzie CHARLES,russoiv@state.gov,43,C+,(718) 508-0407,53,3 MINCHENDEN COURT Guernsey
Ellen Tauscher Catherine Barrett ALLISON,miliscd@stategov,23,D,(718) 860-1472,54,14 THAMESGATE Guinea
Eni Faleomavaega Lena Miranda SWEENEY,abedinh@stategov,29,F,(718) 620-4400,55,14 BETJEMAN GROVE Guinea-Bissau
Eric Woodard Ada Leon ATKINSON,tanleyrnr@state.gov,29,B,(718) 378-2356,56,262 UXBRIDGE ROAD Guyana
Esther Brimmer Frances Haley HORN,hanleymr@retailst.org,28,B+,(718) 378-2356,57,13 DROVERS WAY Haiti
FINCA International Lucy June JEFFERSON,rnillscd@state.gov,27,C,(646) 334-4777,58,27 MORTIMER STREET Honduras
Foreign Affairs Magazine Fannie Harley ROSALES,rnillscd@com.com,39,A,(718) 351-7380,59,65 BAYTREE ROAD Hong Kong SAR China
G Wills Daisy Charlee YORK,sullivanjj@state.gov.,38,A+,(718) 948-4914,60,"30 ST highway road , Fayom Hungary"
G. Lou de Bac Josephine Tyson CHRISTIAN,reiriesp@state.gov,41,B,(718) 989-3918,61,323 ST Flat no. 12 Hurgada City Berlin Iceland
G. Wills Maggie Lucille PHELPS,suilivanii@state.org,42,B+,(718) 328-2728,62,234 Munich Central street Nuremberg India
George Mitchell Dora Talia FARRELL,sullivanj@yahoo.com,40,C+,(718) 991-6660,63,23 Vienna street the red distrcit Indonesia
Gina Glantz Katherine Skyler CASTANEDA,suilivanij@state.gok,30,C,(718) 860-4320,64,"12 Family Land Compound October city , Alexa Iran"
Govenman Etazini Marie Makenna NASH,hanleymr@state.gov.,39,D,(914) 403-4907,65,"H.NO , 5-4-1/4/P P.NO. RAMAIAH NAGAR   KUKATPALLY Iraq"
